San Francisco  時平均,全區騎乘紀錄筆數,年約會員騎乘紀錄次數,短期會員騎乘紀錄次數,騎乘紀錄筆數(超時收費筆數)
00:00,99,68,31,8
01:00,80,44,36,23
02:00,17,7,10,7
03:00,5,1,4,4
04:00,7,5,2,2
05:00,69,66,3,7
06:00,658,631,27,12
07:00,2163,2092,71,16
08:00,1489,1432,57,24
09:00,1115,1017,98,51
10:00,547,418,129,62
11:00,695,548,147,72
12:00,944,736,208,88
13:00,895,709,186,64
14:00,686,457,229,89
15:00,680,485,195,83
16:00,1803,1588,215,100
17:00,2403,2219,184,72
18:00,1615,1421,194,72
19:00,702,584,118,38
20:00,439,320,119,30
21:00,329,250,79,30
22:00,287,201,86,34
23:00,193,133,60,11
