San Francisco  時平均,San Francisco 氣溫,San Francisco 剩餘數量,San Francisco PM2.5,San Francisco濕度,San Jose 氣溫,San Jose PM10,San Jose 細PM2.5,San Jose 濕度
00:00,22.7994017,41.83104374,24.42651693,76.12232342,21.46493151,47.21296244,33.33716899,79.06849315
01:00,22.59971642,39.74863388,23.34152013,76.77268297,21.15355191,44.92108959,31.51142519,79.53005464
02:00,22.41640983,38.35519126,22.59342937,77.43889096,20.92076503,42.96302163,30.43907089,79.86885246
03:00,22.21994478,36.95628415,22.1949467,77.86205747,20.69945355,41.75932577,29.60733138,79.98907104
04:00,22.01993,35.61202186,21.37874535,78.28425939,20.48306011,40.365992,28.52467046,80.29508197
05:00,22.05095519,35.45988951,21.91151412,78.09080389,20.3090411,39.93263272,28.33319812,80.46849315
06:00,22.08685332,34.7431694,21.24083587,77.92337538,20.29344262,40.18146669,27.73636221,80.2568306
07:00,22.61848511,36.3989071,21.76675467,75.39800734,20.86393443,42.27417752,28.80117047,78.21311475
08:00,23.78121113,40.20377877,23.70661942,70.82878795,22.28739726,44.50355925,30.40542913,73.76849315
09:00,24.93943846,44.42622951,25.61726338,66.26229508,23.95628415,43.27015203,30.22384749,67.7704918
10:00,26.10244879,47.83879781,26.88965795,62.18579235,25.64480874,39.80402355,28.11856488,61.99453552
11:00,26.91294722,48.66666667,27.83144422,59.98360656,26.92349727,35.40300271,24.43561598,58.16393443
12:00,27.31804938,48.18579235,27.39134269,59.36612022,27.50273224,33.00378714,22.23860091,57.23497268
13:00,27.35252825,47.61226938,27.19746241,59.44808743,27.53551913,34.82211621,23.69136794,57.75409836
14:00,27.1888416,47.95553905,25.92964773,60.10928962,27.38251366,39.2836947,26.55004945,58.93989071
15:00,26.69121111,48.00234536,25.12295082,61.75136612,26.7704918,43.88251613,29.57519554,61.45355191
16:00,25.94722318,48.22295817,24.91495196,64.01639344,25.93442623,47.47094932,32.00929482,64.38797814
17:00,25.0662816,47.36872142,24.74717561,66.96721311,25.06557377,50.22450793,33.65152471,67.18579235
18:00,24.38701578,48.11569573,25.29917946,69.46994536,24.31147541,52.06884626,34.99645829,69.54098361
19:00,23.95235323,47.72899023,25.81053651,71.16393443,23.66666667,53.21777877,36.38574299,71.91803279
20:00,23.63268464,47.65686802,26.46791306,72.36612022,23.07103825,53.56251701,37.0945746,74.01092896
21:00,23.41288068,46.76325775,26.94682082,73.28961749,22.56830601,53.09053513,36.8598136,75.76502732
22:00,23.21087139,45.60612435,25.9343321,74.21857923,22.15846995,51.4013604,35.7564732,77.14754098
23:00,22.94490762,44.1685311,25.96961512,75.16393443,21.72677596,49.12832167,34.52630358,78.2295082
