San Jose 氣溫,San Jose PM10,San Jose PM2.5,San Jose 雨量,San Jose 濕度,San Jose 風速
21.46493151,47.21296244,33.33716899,0.123835616,79.06849315,0.544657534
21.15355191,44.92108959,31.51142519,0.075409836,79.53005464,0.520765027
20.92076503,42.96302163,30.43907089,0.055737705,79.86885246,0.535519126
20.69945355,41.75932577,29.60733138,0.086338798,79.98907104,0.501092896
20.48306011,40.365992,28.52467046,0.077595628,80.29508197,0.525136612
20.3090411,39.93263272,28.33319812,0.117808219,80.46849315,0.505205479
20.29344262,40.18146669,27.73636221,0.077595628,80.2568306,0.475409836
20.86393443,42.27417752,28.80117047,0.036065574,78.21311475,0.534972678
22.28739726,44.50355925,30.40542913,0.060273973,73.76849315,0.510684932
23.95628415,43.27015203,30.22384749,0.048087432,67.7704918,0.630601093
25.64480874,39.80402355,28.11856488,0.040437158,61.99453552,0.909289617
26.92349727,35.40300271,24.43561598,0.06557377,58.16393443,1.571038251
27.50273224,33.00378714,22.23860091,0.110382514,57.23497268,2.352459016
27.53551913,34.82211621,23.69136794,0.405464481,57.75409836,2.631147541
27.38251366,39.2836947,26.55004945,0.537704918,58.93989071,2.780874317
26.7704918,43.88251613,29.57519554,0.37704918,61.45355191,2.719672131
25.93442623,47.47094932,32.00929482,0.340983607,64.38797814,2.353551913
25.06557377,50.22450793,33.65152471,0.187978142,67.18579235,1.828415301
24.31147541,52.06884626,34.99645829,0.16284153,69.54098361,1.315300546
23.66666667,53.21777877,36.38574299,0.216393443,71.91803279,0.943715847
23.07103825,53.56251701,37.0945746,0.205464481,74.01092896,0.743715847
22.56830601,53.09053513,36.8598136,0.195628415,75.76502732,0.675956284
22.15846995,51.4013604,35.7564732,0.212021858,77.14754098,0.591803279
21.72677596,49.12832167,34.52630358,0.190163934,78.2295082,0.6
