月平均,San Francisco 氣溫,San Francisco 剩餘數量,San Francisco PM2.5,San Francisco濕度,San Jose 氣溫,San Jose PM10,San Jose 細PM2.5,San Jose 濕度
Jan,17.23252688,61.56637349,35.32459677,60.96034946,16.91424731,57.02553763,39.98319892,67.52284946
Feb,18.0639881,59.14136905,34.78199405,69.04464286,18.04866071,63.15550595,47.7873201,67.91220238
Mar,20.52016129,52.37096774,30.93817204,73.31451613,21.15591398,64.16599462,50.00403226,70.95430108
Apr,24.31111111,44.12361111,23.17152778,68.26805556,24.15416667,44.54444444,30.54852155,66.18958333
May,27.27553763,34.39112903,18.67137097,76.48125007,25.84811828,29.49798387,18.78646711,75.95564516
Jun,27.9393337,24.37152778,12.89791667,68.43888889,28.17777778,27.23125,17.21188552,72.29444444
Jul,29.57930108,26.87836022,17.45228495,69.82123656,26.99327957,31.46365642,19.65893243,73.25
Aug,27.86290323,25.17943548,15.54166667,73.90322581,25.96236559,25.77822581,14.32930108,76.375
Sep,27.50555556,39.05347222,24.10636748,69.79444444,26.21944444,45.2375,31.07847222,73.5875
Oct,25.76075269,54.00806452,30.86760753,70.82526882,25.08870968,51.18545303,37.06787634,74.14784946
Nov,24.97638889,54.5817336,31.04368387,70.16805556,23.30208333,47.32986111,31.99236111,70.96111111
Dec,19.79704301,46.88978495,23.71169355,71.99462366,19.50430108,45.56268756,29.9308795,66.33064516
