月平均,San Francisco 氣溫,San Francisco 剩餘數量,San Francisco PM2.5,San Francisco濕度
Jan,17.23252688,61.56637349,35.32459677,60.96034946
Feb,18.0639881,59.14136905,34.78199405,69.04464286
Mar,20.52016129,52.37096774,30.93817204,73.31451613
Apr,24.31111111,44.12361111,23.17152778,68.26805556
May,27.27553763,34.39112903,18.67137097,76.48125007
Jun,27.9393337,24.37152778,12.89791667,68.43888889
Jul,29.57930108,26.87836022,17.45228495,69.82123656
Aug,27.86290323,25.17943548,15.54166667,73.90322581
Sep,27.50555556,39.05347222,24.10636748,69.79444444
Oct,25.76075269,54.00806452,30.86760753,70.82526882
Nov,24.97638889,54.5817336,31.04368387,70.16805556
Dec,19.79704301,46.88978495,23.71169355,71.99462366
