月平均,忠明雨量,忠明風速,埔里雨量,埔里風速,線西雨量,線西風速
Jan,0.0183,0.9013,0.0196,1.0394,0.0239,3.7185
Feb,0.036,0.9371,0.0119,1.0707,0.0402,3.2045
Mar,0.0304,0.9278,0.0423,1.1589,0.0212,3.0901
Apr,0.0611,1.1738,0.0939,1.3494,0.045,3.0561
May,0.8368,1.2829,0.7864,1.0255,0.6914,2.4468
Jun,0.1231,1.6335,0.1646,1.2103,0.0464,2.9459
Jul,0.0734,1.5516,0.2409,1.2364,0.102,2.8848
Aug,0.4336,1.3221,0.6681,1.0371,0.2822,2.7083
Sep,0.2361,1.1479,0.2001,1.2838,0.1061,2.6796
Oct,0.0274,1.0933,0.0349,1.1636,0.0282,2.9788
Nov,0.0008,1.0183,0.0061,1.0571,0.0011,2.7801
Dec,0.0575,1.0312,0.043,0.9315,0.0788,3.84
