忠明時平均,忠明雨量,忠明風速,埔里雨量,埔里風速,線西雨量,線西風速
00:00,0.0795,0.9901,0.1238,0.5447,0.0454,2.5143
01:00,0.0186,0.9798,0.0754,0.5208,0.1416,2.6545
02:00,0.0754,0.9443,0.0557,0.5355,0.1989,2.6842
03:00,0.1355,0.9568,0.0863,0.5011,0.2891,2.6109
04:00,0.1246,0.9432,0.0776,0.5251,0.0491,2.596
05:00,0.1195,0.8575,0.1178,0.5052,0.0714,2.5623
06:00,0.0273,0.9038,0.0776,0.4754,0.056,2.88
07:00,0.0896,1.0137,0.0361,0.535,0.0466,3.0847
08:00,0.177,1.0481,0.0603,0.5107,0.0972,3.0901
09:00,0.047,1.1011,0.0481,0.6306,0.0492,3.2721
10:00,0.0863,1.1721,0.0404,0.9093,0.0872,3.3838
11:00,0.0896,1.3104,0.0656,1.571,0.0956,3.5872
12:00,0.0634,1.482,0.1104,2.3525,0.1162,3.6363
13:00,0.1377,1.5888,0.4055,2.6311,0.0416,3.7048
14:00,0.2645,1.6418,0.5377,2.7809,0.0303,3.6969
15:00,0.1148,1.5847,0.377,2.7197,0.1028,3.6294
16:00,0.2164,1.4478,0.341,2.3536,0.1311,3.5372
17:00,0.0568,1.2667,0.188,1.8284,0.0644,3.2922
18:00,0.0699,1.1787,0.1628,1.3153,0.0267,2.9694
19:00,0.0459,1.118,0.2164,0.9437,0.0233,2.82
20:00,0.0481,1.118,0.2055,0.7437,0.0589,2.7111
21:00,0.0219,1.0683,0.1956,0.676,0.15,2.6289
22:00,0.1115,1.0699,0.212,0.5918,0.1067,2.5939
23:00,0.2131,0.982,0.1902,0.6,0.0356,2.5228
